단어,빈도
일반한식,1531841
인터넷P/G,958019
편 의 점,924494
서양음식,866244
슈퍼마켓,824572
약 국,444675
대형할인점,284060
스넥,267140
의 원,257813
제과점,243493
정육점,213748
택시,208812
기타 전문점,207898
농·축·수산품,196076
기타음료식품,168205
인터넷종합Mall,165479
중국식,155627
자사카드발행백화점,125847
주유소,111970
인터넷Mall,107504
SK주유소,99064
미용원,86246
GS주유소,85283
이동통신요금,81517
쌍용S-OIL,79839
기타잡화,78165
일식·회집,70385
종합병원,66802
기타레져업소,65321
"농,축협직영매장",59376
정장,57737
현대정유(오일뱅크),56166
스포츠·레져용품,52942
손해보험,51178
철도,43671
일반서적,43469
연 쇄 점,42156
PG상품권,39902
병 원(응급실운영),38114
문구용품,35277
골프경기장,34440
치과의원,33418
주점,31873
생명보험,28291
자동차정비,27325
화장품,26383
한 의 원,25495
세탁소,24149
사우나,23867
기타숙박업,22354
CATV홈쇼핑,22345
안경,22240
애완동물,21433
사무서비스,21016
공공요금대행서비스/소득공제비대상,20950
기계공구,20489
스크린골프,18454
위탁급식업,18120
주차장,17940
공공요금대행서비스/소득공제대상,17547
노 래 방,16041
티켓,15744
화원,15118
SK가스충전소,14537
영화관,14388
고속버스,14038
유아원,13339
스포츠의류,12072
통신판매업1,11985
농협하나로클럽,11902
상 품 권,11679
E1가스충전소,11454
DP&E,11337
액세서리,11144
동물병원,10630
가전제품,10551
비영리/대상,10238
내의판매,10197
구내매점(국가기관등),9400
비영리/비대상,9139
기타건축자재,8923
헬스클럽,8795
가정용품수리,8643
목재·석재·철물,8495
종합레져타운,8427
쌍용S-OIL가스충전소,8404
유흥주점,8329
자동차부품,8153
GS가스충전소,7487
보습학원,7416
골프연습장,6565
예·체능계학원,5817
레져업소,5471
정수기,5418
면 세 점,5235
볼 링 장,5139
"비료,사료,종자",5113
기념품점,5039
완구점,4974
자동차시트·타이어,4863
신 발,4776
당구장,4772
화물운송,4618
치과병원,4610
의료용품,4509
미곡상,4314
침구·수예점,4304
통신서비스/소득공제비대상,4267
단란주점,4249
기타건강식품,4200
주방용식기,4063
조세서비스,4042
LPG취급점,4024
전기차충전소,3996
기타의류,3889
일반(통신판매),3727
골프용품 전문점,3724
세차장,3660
종합용역,3600
조명기구,3521
외국어학원,3512
피부미용실,3450
주방용구,3448
기타전기제품,3317
일반가구,3296
가례서비스업,3289
특급호텔,3237
항공사,3237
미용재료,3184
학습지교육,3070
출판 및 인쇄물,2937
비씨카드 정산용가맹점,2841
기타유통업,2818
업종미등록,2796
기타 교육기관,2747
학원,2610
기타4,2605
기타 사무용품,2584
수 영 장,2568
보관및 창고업,2563
초중고교육기관,2554
인테리어전문,2525
콘도,2405
건강진단,2150
현대정유가스충전소,2150
여객선,2147
기타용역서비스,2137
인삼제품,2042
페인트,2004
통신기기,1986
아동의류,1965
독서실,1874
기타의료기관 및 기타의료기기,1816
소프트웨어,1792
비씨카드 정산용(할인),1782
홍삼제품,1738
컴퓨터,1637
문화취미기타,1613
유류판매,1488
기타대인서비스,1468
농축수산가공품,1454
2급 호텔,1448
사무·통신기기수리,1437
카인테리어,1395
가 방,1390
기타보험,1365
주류판매점,1345
민예·공예품,1336
이용원,1304
칵테일바,1256
기능학원,1256
보일러·펌프·샷시,1235
건축용 요업제품,1208
기타농업관련,1171
기타가구,1126
1급 호텔,1119
수족관,1086
"카페트,커튼,천막,지물",1056
이륜차판매,1048
렌터카,1034
전문서적,1021
한방병원,959
농기계,954
한약방,904
기타1,885
옷감·직물,858
화방·표구점,801
안마/스포츠마사지,790
위성방송,784
시 계,752
가타자동차서비스,741
귀금속,738
사무용 OA기기,587
관광여행,574
기타수리서비스,512
단체복,432
부동산중개·임대,430
택시회사,394
기타서적문구,375
맞춤복점,368
갈비전문점,271
