단어,빈도
일반한식,1490442
인터넷P/G,969408
편 의 점,853442
슈퍼마켓,842061
서양음식,813949
약 국,388701
대형할인점,291101
스넥,269261
제과점,243185
정육점,231910
택시,226722
기타 전문점,214750
의 원,214637
농·축·수산품,203211
인터넷종합Mall,178958
중국식,152679
기타음료식품,148393
자사카드발행백화점,131177
주유소,122963
SK주유소,100188
인터넷Mall,99371
GS주유소,89863
미용원,85226
쌍용S-OIL,84175
이동통신요금,81014
기타잡화,79593
일식·회집,71808
종합병원,70066
정장,61399
"농,축협직영매장",60569
기타레져업소,59653
현대정유(오일뱅크),54764
PG상품권,54189
스포츠·레져용품,52789
손해보험,51425
철도,45232
연 쇄 점,42628
병 원(응급실운영),38226
문구용품,35684
치과의원,35621
주점,32806
화장품,32518
일반서적,31686
자동차정비,30174
생명보험,28708
골프경기장,28116
한 의 원,26164
CATV홈쇼핑,24683
기타숙박업,23429
영화관,22313
안경,22198
세탁소,21473
기계공구,21229
공공요금대행서비스/소득공제비대상,21047
공공요금대행서비스/소득공제대상,20217
사무서비스,20109
애완동물,20036
사우나,19517
주차장,16588
스크린골프,16180
유아원,15850
SK가스충전소,15802
노 래 방,14727
고속버스,13969
액세서리,13478
농협하나로클럽,13251
내의판매,13170
통신판매업1,12892
상 품 권,12861
DP&E,12764
위탁급식업,12645
E1가스충전소,12297
가전제품,12249
화원,12208
스포츠의류,12164
티켓,11296
동물병원,10379
기타건축자재,9640
가정용품수리,9296
비영리/비대상,9132
쌍용S-OIL가스충전소,8992
자동차부품,8712
헬스클럽,8445
목재·석재·철물,8366
구내매점(국가기관등),8325
비영리/대상,7725
GS가스충전소,7541
예·체능계학원,6932
보습학원,6790
종합레져타운,6376
면 세 점,6007
완구점,5844
유흥주점,5576
볼 링 장,5286
자동차시트·타이어,5273
정수기,5238
레져업소,5229
치과병원,5175
업종미등록,5022
골프연습장,5014
신 발,4984
침구·수예점,4859
화물운송,4856
미곡상,4717
LPG취급점,4665
당구장,4553
의료용품,4475
일반(통신판매),4256
기타의류,4254
기념품점,4209
조명기구,4098
통신서비스/소득공제비대상,4085
기타건강식품,3817
항공사,3748
특급호텔,3653
주방용구,3613
기타전기제품,3589
일반가구,3533
외국어학원,3525
피부미용실,3498
전기차충전소,3444
조세서비스,3394
세차장,3365
주방용식기,3361
골프용품 전문점,3334
미용재료,3272
기타유통업,3094
단란주점,2992
학원,2981
초중고교육기관,2961
비씨카드 정산용가맹점,2944
종합용역,2859
유류판매,2836
출판 및 인쇄물,2809
학습지교육,2786
가례서비스업,2747
콘도,2674
기타 교육기관,2601
기타 사무용품,2594
기타4,2459
인테리어전문,2454
문화취미기타,2448
보관및 창고업,2368
아동의류,2317
독서실,2308
현대정유가스충전소,2272
비씨카드 정산용(할인),2190
통신기기,2055
건강진단,2047
기타용역서비스,2045
기타의료기관 및 기타의료기기,1951
페인트,1917
기능학원,1853
컴퓨터,1768
기타대인서비스,1736
보일러·펌프·샷시,1731
주류판매점,1665
수 영 장,1665
"비료,사료,종자",1550
카인테리어,1508
여객선,1464
농축수산가공품,1427
사무·통신기기수리,1368
홍삼제품,1332
가 방,1289
칵테일바,1280
기타가구,1236
건축용 요업제품,1226
1급 호텔,1222
이용원,1178
소프트웨어,1173
"카페트,커튼,천막,지물",1143
렌터카,1141
전문서적,1135
수족관,1079
인삼제품,1050
이륜차판매,1030
민예·공예품,993
기타보험,941
한약방,870
옷감·직물,863
기타1,860
귀금속,750
시 계,750
한방병원,735
관광여행,717
화방·표구점,634
가타자동차서비스,633
기타농업관련,618
농기계,596
기타수리서비스,578
윤활유전문판매,569
갈비전문점,536
사무용 OA기기,481
2급 호텔,379
안마/스포츠마사지,364
기타서적문구,304
